CD_CLIENTE,CIDADE,DS_SEGMENTO,DS_SUBSEGMENTO,UF,VL_TOTAL_CONTRATO,DT_ASSINATURA_CONTRATO,MRR_12M,QTD_CONTRATACOES_12M,VLR_CONTRATACOES_12M,NPS_MEDIO
TEZDV1,SAOPAULO,MANUFATURA,QUIMICA & RECICLAGEM,SP,"226,449184837734",2021-11-29,,,,7.0
TDCC79,COTIA,SERVICOS,PROVEDOR DE SERVICOS,SP,"44,901400546751",2021-02-15,,,,
TDCG4W,MANAUS,SERVICOS,UTILITIES,AM,"93,5778650098939",2022-06-30,,,,
TDCCOE,BAURU,VAREJO,MODA,SP,"86,183279899723",2022-06-28,,,,
TDCD1W,ITAPOA,SERVICOS,UTILITIES,SC,"42,9297914411966",2021-03-01,,,,
TDCHE3,ARARAS,CONSTRUCAO E PROJETOS,PROJETOS & SERVICOS ESPECIAIS,SP,"75,7997522009612",2024-10-17,,,,
TEZDDN,SANTOS,LOGISTICA,TRANSPORTADOR,SP,"5,58272258459744",2015-04-20,122.643557,,,7.0
TDCH8K,SAOCAETANODOSUL,LOGISTICA,ATACADISTA E DISTRIBUIDOR,SP,"4,02309150109921",2018-05-13,,,,
TEXCTS,SAOJOSEDOSPINHAIS,CONSTRUCAO E PROJETOS,CONSTRUTORAS,PR,"291,373558027886",2012-07-31,273.683386,1.0,41239.660013426,8.0
TEZE63,LINHARES,MANUFATURA,BENS DURAVEIS,ES,"14393,4485147273",2018-01-24,1391.287787,5.0,51540.237198604,8.0
TDCG5J,SAOPAULO,SERVICOS,PROVEDOR SERVICOS,SP,"137,327408637835",2023-04-10,,,,
TDCCP3,DOUTORPEDRINHO,MANUFATURA,TEXTIL & VESTUARIO,SC,"3,77086005902402",2019-03-14,,,,
TDCDCF,BALNEARIOCAMBORIU,VAREJO,SUPERMERCADO,SC,"34,105894825933",2021-05-21,,,,
TDCDB7,RIODEJANEIRO,SERVICOS,PROVEDOR DE SERVICOS,RJ,"51,7957266301394",2020-01-22,,,,
TEZDH6,MANAUS,VAREJO,MAGAZINE E LOJA DE DEPARTAMENTOS,AM,"12,0146243575147",2013-07-01,85.329596,,,
TDCH93,CUIABA,HOSPITALITY,HOSPEDAGEM,MT,"59,8166864881303",2023-01-05,,,,
TDCDE0,SAOLUIS,VAREJO,MODA,MA,"0,336308589433581",2023-03-17,,,,
TDC0O9,CHAPECO,VAREJO,SUPERMERCADO,SC,"447,895779407643",2023-11-29,407.138735,,,8.0
