CODIGO_ORGANIZACAO,QTD_CHAMADOS,CHAMADOS_ABERTOS,TEMPO_MEDIO_RES
T16732,199,0,0.0
T16736,23,0,0.0
T16751,361,0,0.0
T16755,41,0,0.0
T16758,37,0,0.0
T16759,42,0,0.0
T16765,69,0,0.0
T16800,182,0,0.0
T16834,31,0,0.0
T16863,6,0,0.0
T16867,80,0,0.0
T16878,503,0,0.0
T16880,24,0,0.0
T16885,167,0,0.0
T16898,297,0,0.0
T16926,78,0,0.0
T16927,5,0,0.0
T16942,2,0,0.0
T16950,25,0,0.0
T16951,77,0,0.0
T16961,62,0,0.0
T16970,9,0,0.0
T16971,61,0,0.0
T16976,39,0,0.0
T16981,434,0,0.0
T16989,252,0,0.0
T17041,22,0,0.0
T17062,74,0,0.0
T17078,22,0,0.0
T17085,18,0,0.0
T17094,325,0,0.0
T17136,70,0,0.0
T17146,539,0,0.0
T17149,39,0,0.0
T17152,68,0,0.0
T17193,85,0,0.0
T17212,101,0,0.0
T17217,23,0,0.0
T17230,106,0,0.0
T17243,55,0,0.0
T17271,30,0,0.0
T17272,329,0,0.0
T17274,97,0,0.0
T17275,39,0,0.0
T17299,176,0,0.0
T17312,233,0,0.0
T17319,88,0,0.0
T17321,170,0,0.0
T17325,31,0,0.0
T17348,301,0,0.0
T17391,25,0,0.0
T17405,34,0,0.0
T17432,178,0,0.0
T17433,32,0,0.0
T17436,40,0,0.0
T17446,24,0,0.0
T17526,1,0,0.0
T17638,263,0,0.0
T17652,63,0,0.0
T17812,7,0,0.0
T17816,150,0,0.0
T17891,257,0,0.0
T17941,1500,0,0.0
T17987,204,0,0.0
T17997,216,0,0.0
T18038,141,0,0.0
T18071,47,0,0.0
T18087,625,0,0.0
T18287,34,0,0.0
T18363,18,0,0.0
T18412,11,0,0.0
T18952,128,0,0.0
T18982,158,0,0.0
T19263,87,0,0.0
T19281,168,0,0.0
T19295,33,0,0.0
T19328,328,0,0.0
T19433,113,0,0.0
T19463,2,0,0.0
T19482,49,0,0.0
T19654,75,0,0.0
T19751,153,0,0.0
T19828,356,0,0.0
T20139,100,0,0.0
T20214,103,0,0.0
T20326,22,0,0.0
T20520,53,0,0.0
T20560,13,0,0.0
T20563,95,0,0.0
T20697,27,0,0.0
T20957,147,0,0.0
T20966,205,0,0.0
T20994,228,0,0.0
T21044,16,0,0.0
T21048,344,0,0.0
T21296,112,0,0.0
T21308,5,0,0.0
T21326,72,0,0.0
T21416,78,0,0.0
T21424,39,0,0.0
T21528,101,0,0.0
T21576,75,0,0.0
T21668,35,0,0.0
T21777,224,0,0.0
T21846,7,0,0.0
T21849,122,0,0.0
T21852,4,0,0.0
T21883,203,0,0.0
T21961,283,0,0.0
T22081,76,0,0.0
T22175,923,0,0.0
T22186,101,0,0.0
T22211,392,0,0.0
T22247,77,0,0.0
T22345,184,0,0.0
T22366,35,0,0.0
T22396,38,0,0.0
T22520,126,0,0.0
T22532,128,0,0.0
T22629,294,0,0.0
T22643,1207,0,0.0
T22665,96,0,0.0
T22707,10,0,0.0
T22754,43,0,0.0
T22782,139,0,0.0
T22870,165,0,0.0
T22884,48,0,0.0
T22893,22,0,0.0
T23009,128,0,0.0
T23177,156,0,0.0
T23228,51,0,0.0
T23248,397,0,0.0
T23280,808,0,0.0
T23296,33,0,0.0
T23398,852,0,0.0
T23438,170,0,0.0
T23546,43,0,0.0
T23569,40,0,0.0
T23615,54,0,0.0
T23632,146,0,0.0
T23659,33,0,0.0
T23692,47,0,0.0
T23793,331,0,0.0
T23824,38,0,0.0
T24024,41,0,0.0
T24051,1,0,0.0
T24234,6,0,0.0
T24288,4,0,0.0
T24293,37,0,0.0
T24360,45,0,0.0
T24389,316,0,0.0
T24393,38,0,0.0
T24410,146,0,0.0
T24526,13,0,0.0
T24551,1,0,0.0
T24598,19,0,0.0
T24711,329,0,0.0
T24827,48,0,0.0
T24898,183,0,0.0
T25006,66,0,0.0
T25029,51,0,0.0
T25037,6,0,0.0
T25084,489,0,0.0
T25103,94,0,0.0
T25106,223,0,0.0
T25254,284,0,0.0
T25256,561,0,0.0
T25303,169,0,0.0
T25567,146,0,0.0
T25606,723,0,0.0
T25667,234,0,0.0
T25719,225,0,0.0
T25951,185,0,0.0
T25978,1242,0,0.0
T26027,9,0,0.0
T26177,39,0,0.0
T26188,6,0,0.0
T26230,18,0,0.0
T26249,69,0,0.0
T26272,389,0,0.0
T26313,3,0,0.0
T26323,409,0,0.0
T26584,145,0,0.0
T26793,14,0,0.0
T26845,81,0,0.0
T26902,100,0,0.0
T27008,500,0,0.0
T27027,344,0,0.0
T27030,52,0,0.0
T27050,106,0,0.0
T27051,116,0,0.0
T27075,75,0,0.0
T27168,11,0,0.0
T27211,95,0,0.0
T27369,138,0,0.0
T27563,3,0,0.0
T27656,54,0,0.0
T27699,46,0,0.0
T27744,48,0,0.0
T27782,36,0,0.0
T27866,52,0,0.0
T28036,55,0,0.0
T28165,50,0,0.0
T28250,56,0,0.0
T28317,11,0,0.0
T28442,20,0,0.0
T28477,1362,0,0.0
T28938,180,0,0.0
T29119,115,0,0.0
T29133,396,0,0.0
T29189,5,0,0.0
T29192,24,0,0.0
T29324,69,0,0.0
T29412,7,0,0.0
T29465,85,0,0.0
T29501,2,0,0.0
T29632,143,0,0.0
T29710,208,0,0.0
T29727,22,0,0.0
T29941,559,0,0.0
T29956,175,0,0.0
T29964,129,0,0.0
T30009,87,0,0.0
T30059,147,0,0.0
T30182,30,0,0.0
T30258,37,0,0.0
T30299,31,0,0.0
T30414,101,0,0.0
T30420,59,0,0.0
T30443,355,0,0.0
T30580,9,0,0.0
T30589,32,0,0.0
T30616,4,0,0.0
T30667,264,0,0.0
T30730,3,0,0.0
T30802,1,0,0.0
