CD_CLIENTE,cluster,RECOMENDACOES
T03967,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03960,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03638,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T04028,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03650,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC."
T03198,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T04083,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T03673,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T03386,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T04205,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T03969,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T03655,1,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, CDU CORP TOTVS CONSTRUCAO RB2"
T03315,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T04247,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T04065,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC."
T03993,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC."
T03581,1,"CDU CORP TOTVS CONSTRUCAO RB2, CDU CORP ADIC MNT ATIVOS PARC, CDU CORPORATIVO RB1"
T03546,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T04281,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T03753,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T04389,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T04396,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T04251,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T04132,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T04036,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T04411,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, PROG OPED STUDIO ND USR MNT"
T04305,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T04586,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T04366,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03882,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS TOTVS I TRAD"
T04610,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T04398,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T04367,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T04736,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T04819,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T04491,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., CONSINCO NFC-E SUBSC. POR PDV"
T04851,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T04859,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T04325,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T04467,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T04870,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, PROG OPED STUDIO ND USR MNT"
T05034,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC."
T04488,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC."
T04404,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T04697,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T05045,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T04630,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., CONSINCO NFC-E SUBSC. POR PDV"
T05051,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T05114,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T05077,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
